day,S,L,A,R
199,7692.398584620829,1881.1039166138105,123.03797073551932,303.459528029845
200,7668.737156822315,1900.0874678925786,124.024708133199,307.15066715191057
201,7644.959334631688,1919.1585642738767,125.01069269853272,310.87140839590654
202,7621.066793079827,1938.3157294543937,125.99574828892013,314.6217291768625
203,7597.061242745979,1957.557457800492,126.97969782800241,318.40160162553013
204,7572.944429221361,1976.882214821737,127.96236339653531,322.2109925603702
205,7548.718132545517,1996.288437667312,128.943566324909,326.0498634622663
206,7524.384166615719,2015.7745356450403,129.92312728723184,329.91817045201356
207,7499.944378569788,2035.3388907626945,130.9008663968916,333.8158642706305
208,7475.400648142706,2054.9798582912567,131.87660330350474,337.7428902625373
209,7450.754886997459,2074.695767349742,132.8501572911614,341.6991883616424
210,7426.009038030571,2094.4849215111867,133.82134737786956,345.68469308037726
211,7401.165074652834,2114.3455994293563,134.78999241610077,349.69933350171334
212,7376.225000045765,2134.2760554857073,135.75591119433574,353.74303327419636
213,7351.190846394374,2154.2745204560983,136.7189225395058,357.81571061002643
214,7326.0646740968405,2174.3392021967275,137.6788454202242,361.9172782862116
215,7300.848570951752,2194.468286348735,138.6354990506988,366.04764364881834
216,7275.544651323565,2214.659937060885,139.5887029952151,370.2067086203393
217,7250.155055287014,2234.9122977297166,140.5382772730778,374.3943697101958
218,7224.681947751195,2255.2234917565243,141.48404246389603,378.6105180283881
219,7199.127517564101,2275.5916233205003,142.4258198130972,382.855039302305
220,7173.493976598399,2296.014778167355,143.36343133755193,387.1278138966979
221,7147.783558819289,2316.491024412698,144.2966999311923,391.42871683682444
222,7121.998519335288,2337.0184133594516,145.2254494705044,395.7576178347602
223,7096.1411334328195,2357.5949803285343,146.14950491977518,400.1143813188753
224,7070.213695595518,2378.2187455020435,147.06869243597427,404.49886646646854
225,7044.218518509165,2398.887714778143,147.98283947314934,408.9109272395478
226,7018.157932053206,2419.5998806368407,148.89177488621547,413.3504124237423
227,6992.0342822798275,2440.3532230158307,149.79532903401804,417.81716567032873
228,6965.849930381546,2461.1457101955602,150.69333388154917,422.3110255413493
229,6939.607251648352,2481.9752996926577,151.58562310119908,426.83182555779575
230,6913.308634415384,2502.8399391608646,152.4720321729239,431.37939425083175
231,6886.956479002186,2523.737567298587,153.35239848321243,435.9535552160195
232,6860.553196644574,2544.666114762178,154.22656142273703,440.55412717051587
233,6834.1012084201675,2565.6235050840664,155.09436248257322,445.18092401319797
234,6807.602944168635,2586.607655594819,155.95564534887637,449.8337548876752
235,6781.060841407717,2607.6164783482427,156.8102559959047,454.5124242481415
236,6754.477344246093,2628.6478810486137,157.6580427772801,459.21673192801865
237,6727.85490229416,2649.6997679791275,158.49885651538082,463.94647321133704
238,6701.195969573784,2670.7700409306594,159.3325505887632,468.70143890679844
239,6674.503003428101,2691.856600129932,160.1589810175112,473.4814154244613
240,6647.778463432417,2712.9573451661854,160.97800654641642,478.28618485498663
241,6621.024810307278,2734.0701759154535,161.78948872589447,483.1155250513791
242,6594.244504834751,2755.192993461552,162.59329199054596,487.9692097131559
243,6567.440006778959,2776.3237010128973,163.3892837352752,492.8470084728723
244,6540.61377381191,2797.460204814282,164.17733438888223,497.74868698493054
245,6513.768260445619,2818.6004150527406,164.957317485048,502.674007016597
246,6486.905916971559,2839.742246756659,165.72910973063705,507.62272654114844
247,6460.029188408407,2860.8836206872843,166.4925910712448,512.5945998330676
248,6433.140513459058,2882.0224642218195,167.24764475392226,517.5893775652049
249,6406.242323477881,2903.156712227287,167.99415738701418,522.6068069078226
250,6379.337041449138,2924.284307924381,168.73201899705148,527.646631629433
251,6352.427080977479,2945.4032037405373,169.46112308264352,532.7085921993446
252,6325.514845291403,2966.5113621514574,170.18136666531993,537.7924258918239
253,6298.602726260566,2987.6067565103776,170.89265033727668,542.8978668917835
254,6271.6931034277595,3008.6873718643574,171.59487830598562,548.0246464019018
255,6244.78834305638,3029.7512057569115,172.28795843563157,553.1724927510813
256,6217.890797194184,3050.796269016323,172.9718022853461,558.3411315041503
257,6191.002802754081,3071.8205865290015,173.64632514421103,563.5302855727107
258,6164.126680612687,3092.822197997269,174.31144606301118,568.739675327037
259,6137.264734727357,3113.799158681001,174.96708788271863,573.9690187089274
260,6110.419251272343,3134.7495401225538,175.61317725969775,579.2180313454089
261,6083.592497794724,3155.6714308544565,176.2496446876232,584.4864266631998
262,6056.786722390709,3176.5629370893566,176.87642451610947,589.7739160038285
263,6030.004152902881,3197.422183391757,177.49345496605397,595.0802087393118
264,6003.2469961389215,3218.2473133310873,178.10067814170137,600.4050123882935
265,5976.517437112309,3239.0364901157086,178.69804003944074,605.7480327325445
266,5949.8176383054715,3259.787897207451,179.28549055335262,611.1089739337277
267,5923.149738955807,3280.4997389163414,179.8629834775262,616.4875386503282
268,5896.5158543649895,3301.1702409751865,180.43047650517292,621.883428154654
269,5869.918075231905,3321.7976510937233,180.98793122456553,627.2963424498091
270,5843.358467009558,3342.3802394920626,181.53531311183696,632.7259803865461
271,5816.839069286226,3362.9162994132,182.0725915206769,638.1720397799012
272,5790.361895191134,3383.40414761438,182.59973966896825,643.6342175255215
273,5763.928930824859,3403.842124837145,183.11673462240913,649.1122097155906
274,5737.542134714652,3424.2285962559185,183.62355727517019,654.6057117542629
275,5711.20343729484,3444.561951905005,184.1201923276404,660.114418472518
276,5684.914740412415,3464.8406070839237,184.60662826131798,665.6380242423472
277,5658.6779168579,3485.063002741011,185.08285731090604,671.1762230901868
278,5632.494809921545,3505.2276058352677,185.54887543367664,676.7287088095139
279,5606.3672329748715,3525.3329096764396,186.0046822761686,682.2951750725242
280,5580.296969077546,3545.3774342433603,186.4502811382882,687.8753155408093
281,5554.285770609555,3565.3597264806067,186.88567893488425,693.468823974958
282,5528.335358928586,3585.2783605735412,187.31088615487133,699.0753943430045
283,5502.447424052531,3605.1319382018446,187.72591681797763,704.6947209276507
284,5476.623624366956,3624.9190887716622,188.1307884291956,710.32649843219
285,5450.865586357403,3644.638469626519,188.52552193101567,715.9704220850658
286,5425.174904366307,3664.2887662371745,188.91014165352553,721.6261877429963
287,5399.553140374332,3683.868692370611,189.2846752624583,727.2934919926021
288,5374.001823805878,3703.3769902383738,189.64915370527495,732.9720322504759
289,5348.5224513584935,3722.8124306245077,190.00361115536742,738.6615068616342
290,5323.116486855902,3742.173812993336,190.34808495446987,744.3616151962951
291,5297.785361124337,3761.45996557737,190.68261555336647,750.0720577449292
292,5272.530471891849,3780.6697454456385,191.00724645098512,755.7925362115302
293,5247.353183710225,3799.802038552752,191.3220241319666,761.5227536050597
294,5222.254827899155,3818.8557597690287,191.62699800279958,767.2624143290187
295,5197.236702512257,3837.8298528920313,191.9222203266118,773.0112242691027
296,5172.300072324529,3856.7232906398644,192.20774615670783,778.7688908789011
297,5147.446168840836,3875.5350746266186,192.48363326894432,784.5351232636023
298,5122.676190324966,3894.264235320332,192.74994209303242,790.3096322616706
299,5097.991301848804,3912.9098319838777,193.006735642858,796.0921305244616
300,5073.392635361166,3931.47095259918,193.2540794459083,801.8823325937474
301,5048.881289775807,3949.9467137751753,193.49204147189448,807.6799549771247
302,5024.458331078108,3968.3362606399546,193.72069206065765,813.4847162212815
303,5000.1247924499485,3986.6387667175063,193.94010384944585,819.2963369831012
304,4975.8816744122505,4004.8534337895194,194.15035169964773,825.1145400985846
305,4951.729944984676,4022.979491742684,194.35151262306815,830.939050649574
306,4927.670539861958,4041.0161984019483,194.54366570782938,836.769596028266
307,4903.704362606327,4058.962839350193,194.72689204398026,842.6059059995009
308,4879.832284855506,4076.818727734781,194.90127464889412,848.4477127608203
309,4856.055146545727,4094.5832040614528,195.06689839253502,854.2947510002871
310,4832.373756149233,4112.2556359760365,195.22384992267004,860.1467579520631
311,4808.788890925714,4129.835418034441,195.37221759010328,866.0034734497432
312,4785.301297187144,4147.321971461405,195.51209137400636,871.8646399774462
313,4761.911690575449,4164.714743898468,195.64356280741728,877.7300027186665
314,4738.620756352488,4182.013209141647,195.76672490297813,883.599309602889
315,4715.4291497017775,4199.216866869266,195.88167207898027,889.4723113499783
316,4692.3374960414385,4216.325242360432,195.98850008578327,895.3487615123478
317,4669.346391347803,4233.337886204607,196.08730593267143,901.2284165149213
318,4646.456402489157,4250.254374002733,196.17818781521092,907.1110356929014
319,4623.6680675690895,4267.074306060389,196.2612450431664,912.9963813273578
320,4600.981896278903,4283.797307073411,196.33657796903555,918.8842186786528
321,4578.398370258581,4300.42302580644,196.40428791725682,924.7743160177239
322,4555.917943465777,4316.9511347648395,196.4644771141436,930.6664446552415
323,4533.541042552329,4333.381329860412,196.51724861859552,936.5603789686659
324,4511.268067247782,4349.71333007136,196.5627062536359,942.4558964272237
325,4489.099390749436,4365.9468770969115,196.60095453882153,948.3527776148328
326,4467.0353601184115,4382.081735007025,196.6320986235687,954.2508062509975
327,4445.076296681267,4398.117689887593,196.6562442214375,960.1497692097046
328,4423.222496436691,4414.054549481551,196.67349754541348,966.0494565363477
329,4401.474230466796,4429.892142826271,196.6839652442241,971.9496614627102
330,4379.831745352584,4445.630319887655,196.68775433972496,977.850180420037
331,4358.295263593103,4461.268951191281,196.68497216538793,983.7508130502287
332,4336.864984027895,4476.807927450994,196.67572630592238,989.6513622151903
333,4315.541082262284,4492.247159195292,196.66012453805683,995.5516340043679
334,4294.323711095114,4507.586576391869,196.6382747725078,1001.4514377405096
335,4273.213000948504,4522.826128070653,196.61028499715925,1007.3505859836848
336,4252.209060299252,4537.965781945673,196.57626322147453,1013.2488945335996
337,4231.311976111499,4553.005524036096,196.53631742216066,1019.1461824302438
338,4210.521814270268,4567.945358286721,196.49055549010214,1025.0422719529085
339,4189.838620015539,4582.785306188269,196.43908517858046,1030.9369886176116
340,4169.262418376496,4597.525406397743,196.38201405279253,1036.8301611729692
341,4148.793214605611,4612.1657143591565,196.3194494406801,1042.721621594553
342,4128.430994612246,4626.706301924901,196.25149838507997,1048.6112050777733
343,4108.175725395444,4641.147256978027,196.17826759720273,1054.4987500293257
344,4088.02735547562,4655.488683055691,196.09986341144707,1060.3840980572418
345,4067.985815324844,4669.730698974016,196.01639174155343,1066.2670939595853
346,4048.0510177954493,4683.873438454618,195.92795803810048,1072.1475857118319
347,4028.2228585466814,4697.917049752998,195.83466724734544,1078.025424452975
348,4008.50121646914,4711.861695289056,195.736623771408,1083.9004644703953
349,3988.885954106759,4725.7075512799065,195.6339314297964,1089.7725631835376
350,3969.376918076084,4739.454807375212,195.5266934222717,1095.6415811264314
